id,name,lat,lon,tipo,accessibility_score,flood_risk
osm_5254243271,OSM Node 5254243271,-23.5244468,-46.6267796,onibus,0.5,0
osm_5254243272,OSM Node 5254243272,-23.5244702,-46.6266498,onibus,0.5,0
osm_5254270110,OSM Node 5254270110,-23.5235581,-46.626599,onibus,0.5,0
osm_5254553762,OSM Node 5254553762,-23.5359924,-46.6340129,onibus,0.5,0
osm_5256906237,OSM Node 5256906237,-23.5331598,-46.6264507,onibus,0.5,0
osm_5257645431,OSM Node 5257645431,-23.5336437,-46.6272237,onibus,0.5,0
osm_5260238758,OSM Node 5260238758,-23.5002605,-46.6002128,onibus,0.5,0
osm_5260238759,OSM Node 5260238759,-23.5002976,-46.6002767,onibus,0.5,0
osm_5260238764,OSM Node 5260238764,-23.5012176,-46.6023704,onibus,0.5,0
osm_5260238765,OSM Node 5260238765,-23.5012244,-46.6026139,onibus,0.5,0
osm_5260238777,OSM Node 5260238777,-23.5001057,-46.6060527,onibus,0.5,0
osm_5260238779,OSM Node 5260238779,-23.5006195,-46.6049642,onibus,0.5,0
osm_5264046110,OSM Node 5264046110,-23.5396605,-46.6001033,onibus,0.5,0
osm_5264046116,OSM Node 5264046116,-23.5383146,-46.6019113,onibus,0.5,0
osm_5268126530,OSM Node 5268126530,-23.5262819,-46.6308886,onibus,0.5,0
osm_5268126532,OSM Node 5268126532,-23.5279297,-46.6315236,onibus,0.5,0
osm_5268126534,OSM Node 5268126534,-23.5235771,-46.6309202,onibus,0.5,0
osm_5268148600,OSM Node 5268148600,-23.513116,-46.6268912,onibus,0.5,0
osm_5277793757,OSM Node 5277793757,-23.528345,-46.6202179,onibus,0.5,0
osm_5277793758,OSM Node 5277793758,-23.5261961,-46.6186698,onibus,0.5,0
osm_5277793759,OSM Node 5277793759,-23.5261013,-46.6186511,onibus,0.5,0
osm_5277793766,OSM Node 5277793766,-23.5288172,-46.6199673,onibus,0.5,0
osm_5277793771,OSM Node 5277793771,-23.5297989,-46.6207649,onibus,0.5,0
osm_5277793777,OSM Node 5277793777,-23.5329634,-46.6217299,onibus,0.5,0
osm_5278448344,OSM Node 5278448344,-23.5167987,-46.6274874,onibus,0.5,0
osm_5278448347,OSM Node 5278448347,-23.5142718,-46.6256375,onibus,0.5,0
osm_5278448349,OSM Node 5278448349,-23.5119301,-46.6251358,onibus,0.5,0
osm_5281923296,OSM Node 5281923296,-23.5492548,-46.6485394,onibus,0.5,0
osm_5286743913,OSM Node 5286743913,-23.5476608,-46.6394829,acesso,0.5,0
osm_5288531326,OSM Node 5288531326,-23.5342663,-46.6006156,onibus,0.5,0
osm_5288615176,OSM Node 5288615176,-23.531415,-46.6018902,onibus,0.5,0
osm_5288615184,OSM Node 5288615184,-23.5302622,-46.602975,onibus,0.5,0
osm_5288615185,OSM Node 5288615185,-23.5306873,-46.6024221,onibus,0.5,0
osm_5289706238,OSM Node 5289706238,-23.5321893,-46.6027862,onibus,0.5,0
osm_5289706239,OSM Node 5289706239,-23.5340938,-46.6025959,onibus,0.5,0
osm_5289706243,OSM Node 5289706243,-23.5369434,-46.6023485,onibus,0.5,0
osm_5290080511,OSM Node 5290080511,-23.5184712,-46.6240902,onibus,0.5,0
osm_5290081133,OSM Node 5290081133,-23.5182059,-46.617773,onibus,0.5,0
osm_5296167755,OSM Node 5296167755,-23.5290908,-46.6034615,onibus,0.5,0
osm_5296167757,OSM Node 5296167757,-23.5278759,-46.6047556,onibus,0.5,0
osm_5296224455,OSM Node 5296224455,-23.5292359,-46.6084594,onibus,0.5,0
osm_5298169115,OSM Node 5298169115,-23.5070174,-46.6050753,onibus,0.5,0
osm_5298169116,OSM Node 5298169116,-23.5078277,-46.6054683,onibus,0.5,0
osm_5298169118,OSM Node 5298169118,-23.5097029,-46.6056106,onibus,0.5,0
osm_5298169119,OSM Node 5298169119,-23.5100206,-46.6058443,onibus,0.5,0
osm_5298169822,OSM Node 5298169822,-23.5114212,-46.6058515,onibus,0.5,0
osm_5300694347,OSM Node 5300694347,-23.5193116,-46.6098456,onibus,0.5,0
osm_5305030759,OSM Node 5305030759,-23.5355215,-46.6223304,onibus,0.5,0
osm_5305030764,OSM Node 5305030764,-23.5377819,-46.6222161,onibus,0.5,0
osm_5305030768,OSM Node 5305030768,-23.5380041,-46.6206266,onibus,0.5,0
osm_5305030769,OSM Node 5305030769,-23.5379186,-46.6184441,onibus,0.5,0
osm_5305157015,OSM Node 5305157015,-23.5347529,-46.6222729,onibus,0.5,0
osm_5305157017,OSM Node 5305157017,-23.5350757,-46.622082,onibus,0.5,0
osm_5305157523,OSM Node 5305157523,-23.5345693,-46.6241713,onibus,0.5,0
osm_5305157524,OSM Node 5305157524,-23.5310021,-46.6235002,onibus,0.5,0
osm_5305157531,OSM Node 5305157531,-23.5300443,-46.6177891,onibus,0.5,0
osm_5305157545,OSM Node 5305157545,-23.5288122,-46.6146386,onibus,0.5,0
osm_5306412679,OSM Node 5306412679,-23.5253352,-46.6271084,onibus,0.5,0
osm_5306412681,OSM Node 5306412681,-23.5197108,-46.6178638,onibus,0.5,0
osm_5306412683,OSM Node 5306412683,-23.5205551,-46.6161966,onibus,0.5,0
osm_5306412684,OSM Node 5306412684,-23.5235734,-46.6120227,onibus,0.5,0
osm_5306412685,OSM Node 5306412685,-23.5239448,-46.607376,onibus,0.5,0
osm_5309328650,OSM Node 5309328650,-23.5215976,-46.6119686,onibus,0.5,0
osm_5312688622,OSM Node 5312688622,-23.5354513,-46.6104841,onibus,0.5,0
osm_5312688625,OSM Node 5312688625,-23.5379002,-46.6084268,onibus,0.5,0
osm_5312688631,OSM Node 5312688631,-23.5347197,-46.6117997,onibus,0.5,0
osm_5312688633,OSM Node 5312688633,-23.5419502,-46.6072748,onibus,0.5,0
osm_5314704087,OSM Node 5314704087,-23.5057932,-46.6263151,onibus,0.5,0
osm_5314704091,OSM Node 5314704091,-23.5061004,-46.6263026,onibus,0.5,0
osm_5314704113,OSM Node 5314704113,-23.5102337,-46.6261878,onibus,0.5,0
osm_5314704116,OSM Node 5314704116,-23.5109676,-46.6262066,onibus,0.5,0
osm_5315020159,OSM Node 5315020159,-23.5305821,-46.6049727,onibus,0.5,0
