from,to,tempo_min,transferencia,escada,calcada_ruim,risco_alag,modo
840000595,840000586,2.0,0,0,0,0,onibus
840000586,840002051,2.0,0,0,0,0,onibus
840002051,840000676,2.0,0,0,0,0,onibus
840000676,840000583,1.0,0,0,0,0,onibus
840000583,840000581,2.0,0,0,0,0,onibus
840000581,8412908,2.0,0,0,0,0,onibus
8412908,840003991,2.0,0,0,0,0,onibus
840003991,840003993,2.0,0,0,0,0,onibus
840003993,830003996,2.0,0,0,0,0,onibus
830003996,830003998,2.0,0,0,0,0,onibus
830003998,830004081,1.0,0,0,0,0,onibus
830004081,830004080,2.0,0,0,0,0,onibus
830004080,830004075,2.0,0,0,0,0,onibus
830004075,830004078,2.0,0,0,0,0,onibus
830004078,830004073,2.0,0,0,0,0,onibus
830004073,830004072,2.0,0,0,0,0,onibus
830004072,830004029,1.0,0,0,0,0,onibus
830004029,8313357,2.0,0,0,0,0,onibus
8313357,8313359,2.0,0,0,0,0,onibus
8313359,830004026,2.0,0,0,0,0,onibus
830004026,830004025,2.0,0,0,0,0,onibus
830004025,8313616,2.0,0,0,0,0,onibus
8313616,8313444,2.0,0,0,0,0,onibus
8313444,830004022,4.0,0,0,0,0,onibus
30003239,30003238,1.0,0,0,0,0,onibus
30003238,30003242,2.0,0,0,0,0,onibus
30003242,301735,2.0,0,0,0,0,onibus
301735,30003245,1.0,0,0,0,0,onibus
30003245,30003247,2.0,0,0,0,0,onibus
30003247,30003249,2.0,0,0,0,0,onibus
30003249,30003250,1.0,0,0,0,0,onibus
30003250,30003252,2.0,0,0,0,0,onibus
30003252,301732,2.0,0,0,0,0,onibus
301732,4101041,2.0,0,0,0,0,onibus
4101041,4114597,1.0,0,0,0,0,onibus
4114597,410003257,2.0,0,0,0,0,onibus
410003257,410003258,2.0,0,0,0,0,onibus
410003258,410003260,1.0,0,0,0,0,onibus
410003260,410003261,2.0,0,0,0,0,onibus
410003261,4114498,2.0,0,0,0,0,onibus
4114498,4114515,1.0,0,0,0,0,onibus
4114515,640000118,2.0,0,0,0,0,onibus
640000118,6415396,2.0,0,0,0,0,onibus
6415396,640000154,2.0,0,0,0,0,onibus
640000154,640000155,1.0,0,0,0,0,onibus
640000155,640000158,2.0,0,0,0,0,onibus
640000158,640000159,2.0,0,0,0,0,onibus
640000159,640000162,1.0,0,0,0,0,onibus
640000162,640000163,2.0,0,0,0,0,onibus
640000163,640000166,2.0,0,0,0,0,onibus
640000166,640000168,1.0,0,0,0,0,onibus
640000168,640000169,2.0,0,0,0,0,onibus
640000169,640000171,2.0,0,0,0,0,onibus
640000171,640000225,2.0,0,0,0,0,onibus
640000225,640000264,1.0,0,0,0,0,onibus
640000264,640000335,2.0,0,0,0,0,onibus
640000335,640000358,2.0,0,0,0,0,onibus
640000358,640000529,4.0,0,0,0,0,onibus
640000525,6415394,1.0,0,0,0,0,onibus
6415394,640000359,2.0,0,0,0,0,onibus
640000359,6415325,2.0,0,0,0,0,onibus
6415325,6413868,2.0,0,0,0,0,onibus
6413868,640000224,1.0,0,0,0,0,onibus
640000224,640000170,2.0,0,0,0,0,onibus
640000170,640000167,2.0,0,0,0,0,onibus
640000167,640000165,2.0,0,0,0,0,onibus
640000165,640000164,1.0,0,0,0,0,onibus
640000164,640000161,2.0,0,0,0,0,onibus
640000161,640000160,2.0,0,0,0,0,onibus
640000160,640000157,2.0,0,0,0,0,onibus
640000157,640000156,1.0,0,0,0,0,onibus
640000156,640000153,2.0,0,0,0,0,onibus
640000153,640000152,2.0,0,0,0,0,onibus
640000152,410000119,2.0,0,0,0,0,onibus
410000119,410000045,2.0,0,0,0,0,onibus
410000045,410000044,1.0,0,0,0,0,onibus
410000044,410003262,2.0,0,0,0,0,onibus
410003262,4114522,2.0,0,0,0,0,onibus
4114522,4114581,2.0,0,0,0,0,onibus
4114581,4101048,1.0,0,0,0,0,onibus
4101048,4101045,2.0,0,0,0,0,onibus
4101045,4114596,2.0,0,0,0,0,onibus
4114596,4101042,2.0,0,0,0,0,onibus
4101042,301733,1.0,0,0,0,0,onibus
301733,30003253,2.0,0,0,0,0,onibus
30003253,30003251,2.0,0,0,0,0,onibus
30003251,4114475,2.0,0,0,0,0,onibus
4114475,30003248,2.0,0,0,0,0,onibus
30003248,30003246,1.0,0,0,0,0,onibus
30003246,30003243,2.0,0,0,0,0,onibus
30003243,30003241,2.0,0,0,0,0,onibus
30003241,30003237,4.0,0,0,0,0,onibus
620003091,620003088,1.0,0,0,0,0,onibus
620003088,620003085,2.0,0,0,0,0,onibus
620003085,620003095,1.0,0,0,0,0,onibus
620003095,620003093,2.0,0,0,0,0,onibus
620003093,6201703,1.0,0,0,0,0,onibus
6201703,620003097,2.0,0,0,0,0,onibus
620003097,620003098,1.0,0,0,0,0,onibus
620003098,620003099,2.0,0,0,0,0,onibus
620003099,620003102,1.0,0,0,0,0,onibus
620003102,620003105,2.0,0,0,0,0,onibus
620003105,620003106,1.0,0,0,0,0,onibus
620003106,620003109,2.0,0,0,0,0,onibus
620003109,620003110,1.0,0,0,0,0,onibus
620003110,620003112,2.0,0,0,0,0,onibus
620003112,620003267,2.0,0,0,0,0,onibus
620003267,620003268,1.0,0,0,0,0,onibus
620003268,410003270,2.0,0,0,0,0,onibus
410003270,410003280,1.0,0,0,0,0,onibus
410003280,4101209,2.0,0,0,0,0,onibus
4101209,410003283,1.0,0,0,0,0,onibus
410003283,410003587,2.0,0,0,0,0,onibus
410003587,4114584,1.0,0,0,0,0,onibus
4114584,410003591,2.0,0,0,0,0,onibus
410003591,4114492,1.0,0,0,0,0,onibus
4114492,410003607,2.0,0,0,0,0,onibus
