id,name,lat,lon,tipo
301674,Estr. Cel. José Gladiador,-23.442419,-46.796187,onibus
301678,"Av. Felippo Sturba, 112",-23.43906,-46.789962,onibus
301679,"Av. Felippo Sturba, 390",-23.440333,-46.790333,onibus
301680,"Av. Felippo Sturba, 866",-23.443893,-46.791584,onibus
301681,"Av. Felippo Sturba, 790",-23.445365,-46.791993,onibus
301682,"Av. Felippo Sturba, 1000",-23.449411,-46.793787,onibus
301683,"Av. Felippo Sturba, 1317",-23.449543,-46.793771,onibus
301684,Av. Felippo Sturba,-23.447396,-46.792568,onibus
301686,"R. Francisco Bellazi, 289",-23.450869,-46.79071,onibus
301687,"R. Francisco Bellazi, 521",-23.452273,-46.792456,onibus
301691,"R. Mário Palmerio, 193",-23.438792,-46.791306,onibus
301692,"R. Tancredo Neves, 46",-23.437343,-46.80343,onibus
301693,"Estr. De Pirapora, 850",-23.43134,-46.800551,onibus
301697,"R. Dalva De Oliveira, 70",-23.438349,-46.802298,onibus
301698,"R. Preste, 12",-23.436158,-46.804023,onibus
301699,"R. Tancredo Neves, 46",-23.437337,-46.803267,onibus
301700,"R. Elis Regina, 170",-23.43763,-46.804526,onibus
301701,"R. Preste, 2",-23.436138,-46.804151,onibus
301702,"R. Recife, 51",-23.435635,-46.809855,onibus
301709,Rod. Anhanguera (pista Local),-23.442306,-46.786212,onibus
301711,R. Albert Jansen,-23.44573,-46.789183,onibus
301712,"R. Alexandre Caturla, 4",-23.443804,-46.786332,onibus
301713,"R. Alexandre Caturla, 161",-23.44395,-46.786456,onibus
301714,Estr. De Pirapora,-23.436426,-46.805789,onibus
301715,"Estr. De Pirapora, 93",-23.436525,-46.805893,onibus
301716,"Estr. De Pirapora, 241",-23.437681,-46.808417,onibus
301717,Estr. De Pirapora,-23.435614,-46.802456,onibus
301718,R. Recife,-23.436694,-46.810744,onibus
301720,Estr. De Pirapora,-23.43537,-46.802816,onibus
301721,"R. Osorio Alves De Castro, 17",-23.44877,-46.788268,onibus
301724,"R. Delsuc Alves De Magalhães, 538",-23.435469,-46.791522,onibus
301729,Terminal Jardim Britânia,-23.432142,-46.787093,onibus
301730,"Estr. Cel. José Gladiador, 262",-23.435386,-46.791885,onibus
301731,Rod. Anhanguera (pista Local),-23.442393,-46.786298,onibus
301732,"Estr. De Ligação, 2375",-23.438879,-46.765932,onibus
